##############        GENERATION 0  ###############
8 4 ['GioGenetic', 'GioNoMinimax'] ['32', '7', '2', '* winner: lower'] -5468
8 5 ['GioGenetic', 'GioNoMinimax'] ['29', '7', '3', '* winner: lower'] -5371
8 6 ['GioGenetic', 'GioNoMinimax'] ['30', '7', '2', '* winner: lower'] -5470
8 7 ['GioGenetic', 'GioNoMinimax'] ['34', '7', '2', '* winner: lower'] -5466
8 8 ['GioNoMinimax', 'GioGenetic'] ['33', '7', '3', '* winner: upper'] -5367
8 9 ['GioNoMinimax', 'GioGenetic'] ['31', '7', '4', '* winner: upper'] -5269
fitness value of chromosome 8 :   -53984
9 0 ['GioNoMinimax', 'GioGenetic'] ['34', '7', '4', '* winner: upper'] -5266
9 1 ['GioNoMinimax', 'GioGenetic'] ['33', '7', '3', '* winner: upper'] -5367
9 2 ['GioNoMinimax', 'GioGenetic'] ['31', '4', '3', '* draw: same game state occurred for 3rd time'] -5069
9 3 ['GioGenetic', 'GioNoMinimax'] ['21', '7', '3', '* winner: lower'] -5379
9 4 ['GioNoMinimax', 'GioGenetic'] ['32', '7', '1', '* winner: upper'] -5568
9 5 ['GioNoMinimax', 'GioGenetic'] ['45', '7', '2', '* winner: upper'] -5455
9 6 ['GioNoMinimax', 'GioGenetic'] ['29', '7', '1', '* winner: upper'] -5571
9 7 ['GioGenetic', 'GioNoMinimax'] ['34', '7', '1', '* winner: lower'] -5566
9 8 ['GioNoMinimax', 'GioGenetic'] ['32', '7', '3', '* winner: upper'] -5368
9 9 ['GioGenetic', 'GioNoMinimax'] ['53', '7', '2', '* winner: lower'] -5447
fitness value of chromosome 9 :   -54056
10 0 ['GioNoMinimax', 'GioGenetic'] ['27', '7', '2', '* winner: upper'] -5473
10 1 ['GioGenetic', 'GioNoMinimax'] ['35', '7', '4', '* winner: lower'] -5265
10 2 ['GioGenetic', 'GioNoMinimax'] ['39', '7', '1', '* winner: lower'] -5561
10 3 ['GioGenetic', 'GioNoMinimax'] ['28', '7', '1', '* winner: lower'] -5572
10 4 ['GioNoMinimax', 'GioGenetic'] ['23', '7', '1', '* winner: upper'] -5577
10 5 ['GioNoMinimax', 'GioGenetic'] ['39', '7', '0', '* winner: upper'] -5661
10 6 ['GioGenetic', 'GioNoMinimax'] ['30', '7', '4', '* winner: lower'] -5270
10 7 ['GioGenetic', 'GioNoMinimax'] ['32', '7', '6', '* winner: lower'] -5068
10 8 ['GioGenetic', 'GioNoMinimax'] ['33', '7', '3', '* winner: lower'] -5367
10 9 ['GioGenetic', 'GioNoMinimax'] ['39', '7', '5', '* winner: lower'] -5161
fitness value of chromosome 10 :   -53975
11 0 ['GioNoMinimax', 'GioGenetic'] ['21', '7', '4', '* winner: upper'] -5279
11 1 ['GioNoMinimax', 'GioGenetic'] ['30', '7', '2', '* winner: upper'] -5470
11 2 ['GioGenetic', 'GioNoMinimax'] ['28', '7', '1', '* winner: lower'] -5572
11 3 ['GioNoMinimax', 'GioGenetic'] ['26', '7', '1', '* winner: upper'] -5574
11 4 ['GioNoMinimax', 'GioGenetic'] ['30', '7', '3', '* winner: upper'] -5370
11 5 ['GioNoMinimax', 'GioGenetic'] ['27', '7', '1', '* winner: upper'] -5573
11 6 ['GioGenetic', 'GioNoMinimax'] ['32', '7', '2', '* winner: lower'] -5468
11 7 ['GioNoMinimax', 'GioGenetic'] ['22', '7', '1', '* winner: upper'] -5578
11 8 ['GioNoMinimax', 'GioGenetic'] ['31', '7', '5', '* winner: upper'] -5169
11 9 ['GioGenetic', 'GioNoMinimax'] ['35', '7', '5', '* winner: lower'] -5165
fitness value of chromosome 11 :   -54218
12 0 ['GioGenetic', 'GioNoMinimax'] ['26', '7', '4', '* winner: lower'] -5274
12 1 ['GioNoMinimax', 'GioGenetic'] ['30', '7', '7', '* winner: upper'] -4970
12 2 ['GioGenetic', 'GioNoMinimax'] ['23', '7', '3', '* winner: lower'] -5377
12 3 ['GioNoMinimax', 'GioGenetic'] ['28', '7', '6', '* draw: both players have an invincible token'] -1072
12 4 ['GioGenetic', 'GioNoMinimax'] ['29', '7', '2', '* winner: lower'] -5471
12 5 ['GioNoMinimax', 'GioGenetic'] ['23', '7', '5', '* winner: upper'] -5177
12 6 ['GioNoMinimax', 'GioGenetic'] ['30', '7', '6', '* winner: upper'] -5070
12 7 ['GioNoMinimax', 'GioGenetic'] ['23', '7', '5', '* winner: upper'] -5177
12 8 ['GioNoMinimax', 'GioGenetic'] ['33', '7', '5', '* winner: upper'] -5167
12 9 ['GioNoMinimax', 'GioGenetic'] ['32', '7', '3', '* winner: upper'] -5368
fitness value of chromosome 12 :   -48123
13 0 ['GioGenetic', 'GioNoMinimax'] ['25', '7', '3', '* winner: lower'] -5375
13 1 ['GioNoMinimax', 'GioGenetic'] ['31', '7', '0', '* winner: upper'] -5669
13 2 ['GioNoMinimax', 'GioGenetic'] ['30', '7', '3', '* winner: upper'] -5370
13 3 ['GioGenetic', 'GioNoMinimax'] ['45', '7', '5', '* winner: lower'] -5155
13 4 ['GioGenetic', 'GioNoMinimax'] ['29', '7', '3', '* winner: lower'] -5371
13 5 ['GioNoMinimax', 'GioGenetic'] ['32', '7', '3', '* winner: upper'] -5368
13 6 ['GioGenetic', 'GioNoMinimax'] ['29', '7', '3', '* winner: lower'] -5371
13 7 ['GioNoMinimax', 'GioGenetic'] ['25', '7', '2', '* winner: upper'] -5475
13 8 ['GioNoMinimax', 'GioGenetic'] ['24', '7', '3', '* winner: upper'] -5376
13 9 ['GioGenetic', 'GioNoMinimax'] ['30', '6', '2', '* winner: lower'] -5370
fitness value of chromosome 13 :   -53900
14 0 ['GioNoMinimax', 'GioGenetic'] ['39', '7', '3', '* winner: upper'] -5361
14 1 ['GioNoMinimax', 'GioGenetic'] ['26', '7', '1', '* winner: upper'] -5574
14 2 ['GioGenetic', 'GioNoMinimax'] ['29', '7', '3', '* winner: lower'] -5371
14 3 ['GioGenetic', 'GioNoMinimax'] ['38', '7', '4', '* winner: lower'] -5262
14 4 ['GioNoMinimax', 'GioGenetic'] ['28', '7', '2', '* winner: upper'] -5472
14 5 ['GioGenetic', 'GioNoMinimax'] ['33', '7', '1', '* winner: lower'] -5567
14 6 ['GioGenetic', 'GioNoMinimax'] ['27', '7', '2', '* winner: lower'] -5473
14 7 ['GioNoMinimax', 'GioGenetic'] ['21', '7', '1', '* winner: upper'] -5579
14 8 ['GioNoMinimax', 'GioGenetic'] ['35', '7', '4', '* winner: upper'] -5265
14 9 ['GioNoMinimax', 'GioGenetic'] ['28', '7', '1', '* winner: upper'] -5572
fitness value of chromosome 14 :   -54496
